drive_time_more_than,jp_court,def_appeared,def_not_appeared
0,Court 1-1,6,9
0,Court 1-2,2,0
0,Court 3-1,10,11
0,Court 5-1,20,43
0,Court 5-2,1,1
0,Court 4-2,0,1
5,Court 1-1,77,159
5,Court 1-2,5,3
5,Court 2-1,7,8
5,Court 3-1,37,51
5,Court 3-2,4,7
5,Court 4-1,3,4
5,Court 5-1,43,83
5,Court 5-2,1,4
5,Court 4-2,0,2
10,Court 1-1,139,287
10,Court 1-2,10,11
10,Court 2-1,11,32
10,Court 3-1,90,165
10,Court 3-2,25,42
10,Court 4-1,7,8
10,Court 5-1,108,216
10,Court 5-2,3,4
10,Court 4-2,0,4
15,Court 1-1,11,21
15,Court 1-2,6,2
15,Court 2-1,2,4
15,Court 3-1,3,9
15,Court 4-1,9,8
15,Court 4-2,2,5
15,Court 5-1,22,50
15,Court 5-2,1,1
15,Court 3-2,0,1
